Year,Race,AgeGroup,PctDiagnosed
2010,White,Under 20,59
2010,White,20 to 29,76
2010,White,30 to 39,73
2010,White,40 to 49,76
2010,White,50 to 59,77
2010,White,60 to 69,82
2010,White,70 to 79,85
2010,White,80 to 89,88
2010,White,90 and over,85
2010,Black,Under 20,24
2010,Black,20 to 29,10
2010,Black,30 to 39,11
2010,Black,40 to 49,15
2010,Black,50 to 59,16
2010,Black,60 to 69,12
2010,Black,70 to 79,9
2010,Black,80 to 89,7
2010,Black,90 and over,8
2010,Hispanic,Under 20,17
2010,Hispanic,20 to 29,10
2010,Hispanic,30 to 39,10
2010,Hispanic,40 to 49,4
2010,Hispanic,50 to 59,3
2010,Hispanic,60 to 69,3
2010,Hispanic,70 to 79,3
2010,Hispanic,80 to 89,3
2010,Hispanic,90 and over,3
2010,Asian and Pacific Islander,Under 20,
2010,Asian and Pacific Islander,20 to 29,2
2010,Asian and Pacific Islander,30 to 39,5
2010,Asian and Pacific Islander,40 to 49,3
2010,Asian and Pacific Islander,50 to 59,2
2010,Asian and Pacific Islander,60 to 69,2
2010,Asian and Pacific Islander,70 to 79,2
2010,Asian and Pacific Islander,80 to 89,2
2010,Asian and Pacific Islander,90 and over,3
2010,Native American,Under 20,1
2010,Native American,20 to 29,0
2010,Native American,30 to 39,0
2010,Native American,40 to 49,0
2010,Native American,50 to 59,0
2010,Native American,60 to 69,0
2010,Native American,70 to 79,0
2010,Native American,80 to 89,0
2010,Native American,90 and over,0
2011,White,Under 20,80
2011,White,20 to 29,65
2011,White,30 to 39,69
2011,White,40 to 49,74
2011,White,50 to 59,77
2011,White,60 to 69,82
2011,White,70 to 79,85
2011,White,80 to 89,87
2011,White,90 and over,88
2011,Black,Under 20,
2011,Black,20 to 29,14
2011,Black,30 to 39,11
2011,Black,40 to 49,16
2011,Black,50 to 59,16
2011,Black,60 to 69,12
2011,Black,70 to 79,9
2011,Black,80 to 89,7
2011,Black,90 and over,7
2011,Hispanic,Under 20,8
2011,Hispanic,20 to 29,13
2011,Hispanic,30 to 39,9
2011,Hispanic,40 to 49,4
2011,Hispanic,50 to 59,3
2011,Hispanic,60 to 69,3
