Sex,Race/Ethnicity,Age,Stage at Diagnosis,Rate Type,Year,Age-adjusted(AA)Rateper100000,AA Rate Lower 95% Confidence Interval,AA Rate Upper 95% Confidence Interval,Modeled Rate (Trend Line),Type of Trend Estimate,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed SEER Incidence Rate,1975,400.4442,397.3516,403.5542,395.884,Annual Percent Change,1975-1989,1.2281,1.0459,1.4106,Trend is Rising
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed SEER Incidence Rate,1976,407.4051,404.3042,410.5233,400.7458,Annual Percent Change,1989-1992,2.8193,-0.5232,6.2742,Trend is Not Significant
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed SEER Incidence Rate,1977,407.7199,404.6456,410.811,405.6674,Annual Percent Change,1992-1995,-2.3464,-5.4318,0.8396,Trend is Not Significant
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed SEER Incidence Rate,1978,407.3132,404.274,410.3689,410.6495,Annual Percent Change,1995-1999,0.898,-0.6688,2.4895,Trend is Not Significant
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed SEER Incidence Rate,1979,412.504,409.4745,415.5497,415.6927,Annual Percent Change,1999-2008,-0.1683,-0.4906,0.155,Trend is Not Significant
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed SEER Incidence Rate,1980,418.1164,415.0971,421.1517,420.7978,Annual Percent Change,2008-2018,-1.0359,-1.2517,-0.8197,Trend is Falling
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed SEER Incidence Rate,1981,425.2928,422.2713,428.3299,425.9657,Average Annual Percent Change,2009-2018,-1.0359,-1.2517,-0.8197,Trend is Falling
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed SEER Incidence Rate,1982,424.493,421.5032,427.4982,431.197,Average Annual Percent Change,2014-2018,-1.0359,-1.2517,-0.8197,Trend is Falling
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed SEER Incidence Rate,1983,431.1091,428.1255,434.1077,436.4926,,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed SEER Incidence Rate,1984,440.0092,437.0219,443.0113,441.8532,,,,,,
